연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
1,이 사건 소를 각하한다.,이 소송은 받아주지 않는다.,,각하,"소각하, 소송요건"
,,,그림,,
2,원고의 청구를 기각한다.,원고가 원하는대로 해줄 수 없다.,,청구기각,기각
,,,그림,,
3,피고인을 징역 1년에 처한다.,김이박은 1년 동안 감옥에 갇혀 있어야 한다.,,징역,유기징역
,,,그림,,
4,피고인을 벌금 300만 원에 처한다.,김이박은 벌금 300만 원을 내야한다.,,벌금,-
,,,그림,,
5,피고인은 무죄.,김이박은 죄가 없다.,,무죄1,"무죄, 선고, 판사봉"
,,,그림,,
6,피고인은 무죄.,김이박은 죄가 없다.,,무죄2,"구속, 수갑, 무죄"
,(구속 사건의 경우),,,,
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,"피고인을 징역 6월에 처한다. 다만, 이 판결",1) 박수춘은 죄를 지었으므로 원래 6개월 동안 감옥에 갇혀 있어야 한다. 그러나 박수춘은 지금 감옥에 가지 않는다.,그림,,
7,확정일부터 2년간 위 형의 집행을 유예한다.,,,징역형의 집행유예 1/2,"징역, 집유, 집행유예"
,,"2) 만약 박수춘이 2년 안에 다른 죄를 지어서 감옥에 가면, 여기서 정한 6개월도 더하여 감옥에 갇혀 있어야 한다.",그림,,
,,"만약 박수춘이 2년 동안 다른 죄를 짓지 않으면, 감옥에 가지 않는다.",,,
8,,,,징역형의 집행유예 2/2,"징역, 집유, 집행유예"
,피고인을 벌금 100만 원에 처한다.,1) 박수춘은 죄를 지었으므로 원래 벌금 100만 원을 내야한다.,그림,,
,"다만, 이 판결 확정일부터 2년간 위 형의 집행을 유예한다.",그러나 박수춘은 지금 벌금을 내지 않는다. 지금 당장 벌금을 낼 정도의 잘못은 아니기 때문이다.,,,
9,,,,벌금형의 집행유예 1/2,"벌금, 집유, 집행유예"
,,2) 일단 앞으로 2년 동안 어떻게 지내는지를 살펴본다.,그림,,
,,"만약 박수춘이 2년 안에 다른 죄를 지어서 감옥에 가면, 여기서 정한 벌금 100만 원도 내야 한다. 만약 박수춘이 2년 동안 다른 죄를 짓지 않으면, 벌금을 내지 않는다.",,,
,,,,벌금형의 집행유예 2/2,
10,,,,,"벌금의 집행유예, 죄"
,,,그림,,
,,,,,
11,피고인이 벌금을 납입하지 아니하는 경우 노역장에 유치한다.,"만약 김을동이 벌금을 안 내면, 나라에서 김을동을 감옥에 가둘 수 있다.",,노역장 유치1/2,"벌금, 노역장, 감옥"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,,,,,
,,,,,
,,"김을동을 가둘 경우, 벌금에서 하루에 10만 원씩을 뺀다. 김을동은 남은 벌금이 없을 때 풀려난다.",,,
12,10만 원을 1일로 환산한 기간을 노역장에 유치한다.,,,노역장 유치 2/2(1),"노역장, 감옥, 10만 원 1일 환산"
,,,그림,,
,,,,,
,,,,,
,,"김을동을 가둘 경우, 벌금에서 하루에 5만 원씩을 뺀다. 김을동은 남은 벌금이 없을 때 풀려난다.",,,
13,5만 원을 1일로 환산한 기간을 노역장에 유치한다.,,,노역장 유치 2/2(2),"노역장, 감옥,"
,,,,,5만 원
,,,,,1일 환산
,,1) 병은 감옥에 4개월 갇혀 있어야 할 정도로 잘못했다.,그림,,
,피고인에 대한 형의 선고를 유예한다. (징역형),그렇지만 지금 당장 감옥에 가지는 않는다.,,선고유예,
14,,감옥에 가라고 할지는 2년 후에 확실히 정한다.,,(징역) 1/2,"감옥, 선고"
,,,그림,,
15,,2) 다른 죄를 짓지 않고,,선고유예,감옥
,,2년이 지나면 감옥에 가지 않는다.,,(징역) 2/2,
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,1) 병은 벌금 100만 원을 내야할 정도로 잘못했다. 그렇지만 지금 당장 벌금을 내지는 않는다.,그림,,
,피고인에 대한 형의 선고를 유예한다. (벌금형),벌금을 내라고 할지는 2년 후에 확실히 정한다.,,선고유예,
16,,,,(벌금) 1/2,-
,,,그림,,
,,,,선고유예,
17,,2) 다른 죄를 짓지 않고 2년이 지나면 벌금은 없어진다.,,(벌금) 2/2,-
,,,그림,,
,피고인에 대한 판결의 요지를 공시한다.,김이박에게 더이상 죄가 없다는 사실을 많은 사람에게 알린다.,,,
18,,,,무죄판결 공시,"무죄, 판결, 요지, 공시"
,,,그림,,
,압수된 칼 1자루 (증 제1호)를 피고인 갑으로부터 몰수한다.,"경찰이 가져간 칼 1자루는 나라에서 알아서 처리하고, 갑에게 돌려주지 않는다.",,,
19,,,,몰수,"증거, 증거몰수"
,,,그림,,
,,,,,
,,,,,
,피고인은 심신상실 상태로 형범 제10조에 따라 책임을 면할 수 있다.,김이박은 정신장애가 있다. 그래서 자신의 행동이 범죄라는 것을 전혀 몰랐다. 김이박을 처벌할 수 없다.,,,
20,,,,심신상실 1,정신장애
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,,,,,
,,,,,
21,피고인은 심신상실 상태로 형범 제10조에 따라 책임을 면할 수 있다.,김이박은 정신장애가 있다. 장애로 자신의 행동을 참을 수가 없었다. 김이박을 처벌할 수 없다.,,심신상실 2,정신장애
,,,그림,,
22,피치료감호청구인을 치료감호에 처한다.,김이박은 국립법무병원에 갇혀서 치료를 받아야한다.,,치료감호,"치료, 국립법무 병원"
,,,그림,,
23,피고인에게 보호관찰을 받을 것을 명한다.,김이박은 자기 집에 살면서 보호관찰관의 지시에 따라서 바르게 생활해야 한다.,,보호관찰,보호관찰관
,피고인에게 40시간의 스토킹 치료프로그램 이수를 명한다.,,그림,,
24,,김이박은 스토킹을 하지 말라는 강의를 40시간 들어야 한다.,,"수강명령 (스토킹, 40시간)","스토킹, 치료, 강의"
,피고인에게 40시간의 사회봉사를 명한다.,,그림,,
25,,김이박은 40시간 동안 봉사활동을 해야 한다.,,사회봉사,"봉사, 봉사활동"
,,,,(40시간),
,피고인에게 40시간의 성폭력 치료강의 수강을 명한다.,,그림,,
26,,김이박은 40시간 동안 성폭력을 다시 저지르면 안 된다는 강의를 들어야 한다.,,치료강의 수강명령 (성폭력),"성폭력, 치료, 강의"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
27,"피해자에게 연락, 접근 금지를 명한다.","김이박은 피해자에게 연락하거나 피해자의 집, 직장 등에 찾아가면 안된다.",,접근 금지,"피해자, 집,"
,,,,,"직장, 연락, 금지"
,"피고인에 대하여 아동, 청소년 관련기관 등과 장애인 관련기관에 각 3년간 취업제한을 명한다.","김이박은 앞으로 3년 동안 아동, 청소년, 장애인이 이용하는 복지관이나 시설에 취업할 수 없다.",그림,,
28,,,,취업 제한 명령,"복지관, 시설, 어린이집, 청소년 센터"
,,,그림,,
,피고인에게 40시간의 준법운전강의 수강을 명한다.,김이박은 바른 운전 규칙을 배우는 강의를 40시간 들어야 한다.,,수강명령,"운전, 준법, 강의"
29,,,,(운전),
,,,그림,,
,압수한 휴대폰을 피해자에게 교부한다.,경찰은 □□□으로부터 빼앗은 휴대폰 1대를,,,"압수증거, 교부, 휴대폰, 경찰"
30,,○○○에게 준다.,,피해자교부,
,매일 20시부터 다음날 06시까지 피고인의 주거지 밖으로 외출하지 말아야 한다.,,그림,,
,,김이박은 매일 20시부터 다음날 06시까지 집 밖으로 나가면 안 된다.,,외출금지,"외출, 주거지, 금지"
31,,,,01월 02일,
,,어쩔 수 없이 밖으로 나가야 한다면 미리 보호관찰관*에게 말해야 한다.,그림,,
,부득이 외출하여야 하는 경우에는 미리 보호관찰관에게 신고해야 한다.,*보호관찰관 : 범죄를 저질렀지만 감옥에 가지 않고 정해진 기간 동안 감시를 받아야 하는 사람을 감시하는 사람,,,
32,,,,외출금지,"외출, 보호관찰관, 신고"
,,,,02월 02일,
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,,,,,
33,공무집행방해죄에 해당한다.,경찰이 일을 제대로 할 수 없게 방해했다.,,공무집행 방해,"경찰, 공무, 방해"
,,,그림,,
,,,,,
